Training for 1 epochs (250065 iterations).
Accuracy 0.19768934531450577
Epoch 1
Iteration:  34700 	Average Loss:  1.2280510676635559
Iteration:  34800 	Average Loss:  1.238732300496989
Iteration:  34900 	Average Loss:  1.3880594837808622
Iteration:  35000 	Average Loss:  1.4365367990881117
Iteration:  35100 	Average Loss:  1.3393461066373318
Iteration:  35200 	Average Loss:  1.2294662005926942
Iteration:  35300 	Average Loss:  1.3126446307721487
Iteration:  35400 	Average Loss:  1.2152772377970624
Iteration:  35500 	Average Loss:  1.2067321899013441
Iteration:  35600 	Average Loss:  1.1498028768261863
Iteration:  35700 	Average Loss:  1.2559711042057662
Iteration:  35800 	Average Loss:  1.1587989729947312
Iteration:  35900 	Average Loss:  1.2022295969538734
Iteration:  36000 	Average Loss:  1.380568240089669
Iteration:  36100 	Average Loss:  1.1950928153137654
Iteration:  36200 	Average Loss:  1.222208815888285
Iteration:  36300 	Average Loss:  1.2299409832974986
Iteration:  36400 	Average Loss:  1.391091960152415
Iteration:  36500 	Average Loss:  1.2581737269358038
Iteration:  36600 	Average Loss:  1.231526599478662
Iteration:  36700 	Average Loss:  1.2640974734739456
Iteration:  36800 	Average Loss:  1.3331195910644704
Iteration:  36900 	Average Loss:  1.2711123807636862
Iteration:  37000 	Average Loss:  1.4695683475560073
Iteration:  37100 	Average Loss:  1.1194403613730488
Iteration:  37200 	Average Loss:  1.1064111957702478
Iteration:  37300 	Average Loss:  1.1977476956293351
Iteration:  37400 	Average Loss:  1.2808898944781493
Iteration:  37500 	Average Loss:  1.1744729381892511
Iteration:  37600 	Average Loss:  1.3299105338905661
Iteration:  37700 	Average Loss:  1.2798257890589229
Iteration:  37800 	Average Loss:  1.2083898286480872
Iteration:  37900 	Average Loss:  1.2544238194603947
Iteration:  38000 	Average Loss:  1.2534875366419076
Iteration:  38100 	Average Loss:  1.1485066814783051
Iteration:  38200 	Average Loss:  1.3000123111040662
Iteration:  38300 	Average Loss:  1.3635970781365694
Iteration:  38400 	Average Loss:  1.3010026970892101
Iteration:  38500 	Average Loss:  1.574212319922695
Iteration:  38600 	Average Loss:  1.150642318484239
Iteration:  38700 	Average Loss:  1.2698161277382374
Iteration:  38800 	Average Loss:  1.3450235162968973
Iteration:  38900 	Average Loss:  1.1649463591262035
Iteration:  39000 	Average Loss:  1.4851180950662795
Iteration:  39100 	Average Loss:  1.2030661833632619
Iteration:  39200 	Average Loss:  1.1857908345600499
Iteration:  39300 	Average Loss:  1.2631773612486195
Iteration:  39400 	Average Loss:  1.2478200398841621
Iteration:  39500 	Average Loss:  1.1928719515163897
Iteration:  39600 	Average Loss:  1.1575669605052084
Iteration:  39700 	Average Loss:  1.327454428040092
Iteration:  39800 	Average Loss:  1.3218862873303303
Iteration:  39900 	Average Loss:  1.0317619058598182
Iteration:  40000 	Average Loss:  1.238415561972036
Accuracy 0.21012516046213095
Iteration:  40100 	Average Loss:  1.346828059763825
Iteration:  40200 	Average Loss:  1.3780374260780786
Iteration:  40300 	Average Loss:  1.2636723171329596
Iteration:  40400 	Average Loss:  1.3622501344896945
Iteration:  40500 	Average Loss:  1.3589257123400103
Iteration:  40600 	Average Loss:  1.122510151725153
Iteration:  40700 	Average Loss:  1.4685891041281658
Iteration:  40800 	Average Loss:  1.141832705050138
Iteration:  40900 	Average Loss:  1.28913987629471
Iteration:  41000 	Average Loss:  1.254462978323434
Iteration:  41100 	Average Loss:  1.2548124767056947
Iteration:  41200 	Average Loss:  1.2436759168999323
Iteration:  41300 	Average Loss:  1.2112341664308246
Iteration:  41400 	Average Loss:  1.187013235005917
Iteration:  41500 	Average Loss:  1.2616079004049428
Iteration:  41600 	Average Loss:  1.2928872121570731
Iteration:  41700 	Average Loss:  1.2416411575019737
Iteration:  41800 	Average Loss:  1.2215210064379596
Iteration:  41900 	Average Loss:  1.231706718572069
Iteration:  42000 	Average Loss:  1.290073144522411
Iteration:  42100 	Average Loss:  1.3456519552833273
Iteration:  42200 	Average Loss:  1.3407800835910433
Iteration:  42300 	Average Loss:  1.4545652557227482
Iteration:  42400 	Average Loss:  1.2585249031268275
Iteration:  42500 	Average Loss:  1.233879139690196
